target,model,mae,rmse,mape_pct,residual_std,test_rows,deployable
demand,naive_1h,4086.7113,5233.9524,2.2577,5233.952,9312,0
demand,naive_24h,4907.8098,6674.4297,2.7078,6674.2282,9312,0
demand,naive_168h,8710.5929,11248.8386,4.8244,11245.8887,9312,0
demand,naive_720h,12986.2185,16723.5072,7.2044,16677.2589,9312,0
demand,linear_regression,2485.3355,3237.1263,1.3561,3235.752,9312,1
solar,naive_1h,57.9518,96.1725,686.8735,96.1725,9312,0
solar,naive_24h,25.1154,61.43,13.8611,61.43,9312,0
solar,naive_168h,34.6847,80.3995,27.0341,80.3991,9312,0
solar,naive_720h,41.9864,89.1921,69.4668,89.1883,9312,0
solar,linear_regression,25.1773,43.0217,522.2369,42.8009,9312,1
wind,naive_1h,1.8398,8.3242,30.0135,8.3242,9312,0
wind,naive_24h,5.9448,22.8505,168.4056,22.8505,9312,0
wind,naive_168h,8.1909,31.6862,346.9789,31.6861,9312,0
wind,naive_720h,7.8495,30.8272,338.9568,30.8227,9312,0
wind,linear_regression,2.3891,7.6852,98.9294,7.6104,9312,1
