feature,mean_abs_shap
demand_lag_1h,9091.452604206777
demand_lag_24h,3761.0457289147544
demand_rolling_mean_24h,2675.7176318294896
demand_lag_168h,2640.0985272091066
demand_rolling_mean_168h,2339.2745825605452
hour_cos,2287.498294238677
solar_radiation_w_m2,1976.474526183993
demand_rolling_std_24h,777.116435660955
demand_rolling_std_168h,730.0595438091932
hour_sin,676.9319309799275
day_of_week_cos,498.6256401644669
month_cos,374.6635749292517
cloud_cover_pct,321.28777549245905
day_of_week_sin,175.6850625038448
month_sin,146.43104389523754
relative_humidity_pct,111.7811468806427
wind_speed_10m_kmh,96.6038357075661
precipitation_mm,35.58158240864117
temperature_2m_c,14.954429944363905
