datetime,national_demand_mw,north_demand_mw,west_demand_mw,east_demand_mw,south_demand_mw,north_east_demand_mw,temperature_2m_c,relative_humidity_pct,cloud_cover_pct,precipitation_mm,wind_speed_10m_kmh,solar_radiation_w_m2,wind_speed_10m_ms,solar_generation_kw,solar_imputed,solar_irradiance_proxy_w_m2,hour,day_of_week,month,year,is_weekend,wind_power_potential_kw,combined_renewable_kw,facility_demand_kw,energy_balance_kw
2019-01-01 00:00:00,118690.67,33692.02,38522.22,13128.89,31681.83,1665.72,8.8,84,0,0.0,8.8,0.0,1.74,0.0,0,0.0,0,1,1,2019,0,0.0,0.0,7121.4402,-7121.4402
2019-01-01 01:00:00,116029.23,32534.39,38071.09,12737.53,31129.97,1556.24,8.1,86,0,0.0,8.9,0.0,1.86,0.0,0,0.0,1,1,1,2019,0,0.0,0.0,6961.7537999999995,-6961.7537999999995
2019-01-01 02:00:00,114044.14,31730.37,37680.1,12387.36,30760.87,1485.44,7.6,87,0,0.0,8.4,0.0,1.86,0.0,0,0.0,2,1,1,2019,0,0.0,0.0,6842.6484,-6842.6484
2019-01-01 03:00:00,113648.97,31529.25,37747.37,12301.12,30616.27,1454.96,7.3,88,0,0.0,7.2,0.0,2.1,0.0,0,0.0,3,1,1,2019,0,0.0,0.0,6818.9382,-6818.9382
2019-01-01 04:00:00,116290.05,32406.61,38101.8,12479.13,31839.38,1463.14,7.1,88,0,0.0,6.1,0.0,1.46,0.0,0,0.0,4,1,1,2019,0,0.0,0.0,6977.403,-6977.403
2019-01-01 05:00:00,124434.0,36376.37,39757.78,13252.46,33551.13,1496.27,5.9,92,0,0.0,6.5,0.0,1.22,0.0,0,0.0,5,1,1,2019,0,0.0,0.0,7466.04,-7466.04
2019-01-01 06:00:00,136638.94,41588.16,43250.17,14170.4,36059.11,1571.1,6.2,91,0,0.0,5.9,0.0,2.02,0.0,0,0.0,6,1,1,2019,0,0.0,0.0,8198.3364,-8198.3364
2019-01-01 07:00:00,147992.72,43703.11,47735.68,15103.72,39695.93,1754.27,6.0,92,0,0.0,7.9,2.0,2.23,1.0227648,0,1.023,7,1,1,2019,0,0.0,1.0227648,8879.5632,-8878.5404352
2019-01-01 08:00:00,153580.44,44815.75,49976.75,15329.48,41690.19,1768.27,8.7,83,0,0.0,10.0,82.0,2.25,139.44737,0,139.447,8,1,1,2019,0,0.0,139.44737,9214.8264,-9075.37903
2019-01-01 09:00:00,156556.18,45662.13,51698.61,15247.92,42244.94,1702.59,12.2,72,0,0.0,6.9,247.0,2.19,377.3629,0,377.363,9,1,1,2019,0,0.0,377.3629,9393.370799999999,-9016.007899999999
2019-01-01 10:00:00,157135.53,45813.75,52652.51,15041.89,42006.58,1620.8,15.2,63,0,0.0,5.8,407.0,1.71,564.4284,0,564.428,10,1,1,2019,0,0.0,564.4284,9428.1318,-8863.703399999999
2019-01-01 11:00:00,155383.98,45430.35,52165.27,14763.09,41508.64,1516.64,17.5,54,0,0.0,6.5,526.0,2.39,689.24646,0,689.246,11,1,1,2019,0,0.0,689.24646,9323.0388,-8633.79234
2019-01-01 12:00:00,151982.46,44407.59,50861.13,14395.97,40836.25,1481.51,18.9,48,0,0.0,7.0,585.0,2.81,746.2027,0,746.203,12,1,1,2019,0,0.0,746.2027,9118.9476,-8372.7449
2019-01-01 13:00:00,147432.34,43353.29,49552.0,13720.22,39370.35,1436.48,19.8,45,0,0.0,6.8,576.0,2.89,714.55316,0,714.553,13,1,1,2019,0,0.0,714.55316,8845.9404,-8131.387239999999
2019-01-01 14:00:00,144736.76,42785.19,48890.31,13071.28,38597.94,1392.05,20.2,44,0,0.0,6.9,502.0,2.93,607.22644,0,607.226,14,1,1,2019,0,0.0,607.22644,8684.205600000001,-8076.979160000001
2019-01-01 15:00:00,142616.95,41970.84,47846.86,12858.01,38543.01,1398.22,20.1,45,16,0.0,6.4,374.0,2.78,514.98047,0,514.98,15,1,1,2019,0,0.0,514.98047,8557.017,-8042.036529999999
2019-01-01 16:00:00,143051.57,41917.0,47199.49,13599.74,38709.13,1626.21,19.1,55,50,0.0,3.0,207.0,2.7,397.166,0,397.166,16,1,1,2019,0,0.0,397.166,8583.0942,-8185.928199999999
2019-01-01 17:00:00,145782.92,42730.21,46613.7,15521.14,38704.58,2213.3,18.6,51,19,0.0,4.6,50.0,2.59,0.0,0,0.0,17,1,1,2019,0,0.0,0.0,8746.9752,-8746.9752
2019-01-01 18:00:00,149412.95,45696.87,46380.55,16934.69,38094.55,2306.29,17.6,54,0,0.0,3.6,0.0,2.37,0.0,0,0.0,18,1,1,2019,0,0.0,0.0,8964.777,-8964.777
2019-01-01 19:00:00,145275.21,43079.42,45264.0,16898.45,37756.47,2276.87,16.9,56,0,0.0,5.0,0.0,2.33,0.0,0,0.0,19,1,1,2019,0,0.0,0.0,8716.5126,-8716.5126
2019-01-01 20:00:00,137227.15,39815.68,42994.64,16317.25,35916.93,2182.65,12.5,75,2,0.0,8.6,0.0,2.4,0.0,0,0.0,20,1,1,2019,0,0.0,0.0,8233.628999999999,-8233.628999999999
2019-01-01 21:00:00,130372.91,37528.28,41650.55,15252.7,33946.79,1994.57,11.0,83,28,0.0,9.4,0.0,2.37,0.0,0,0.0,21,1,1,2019,0,0.0,0.0,7822.3746,-7822.3746
2019-01-01 22:00:00,124227.03,36641.6,40158.71,13773.44,31921.61,1731.67,10.4,87,4,0.0,9.2,0.0,2.34,0.0,0,0.0,22,1,1,2019,0,0.0,0.0,7453.6218,-7453.6218
2019-01-01 23:00:00,119535.85,34641.52,40055.53,12735.41,30512.05,1591.34,9.8,86,7,0.0,10.2,0.0,2.27,0.0,0,0.0,23,1,1,2019,0,0.0,0.0,7172.151,-7172.151
2019-01-02 00:00:00,116461.83,32775.77,39575.12,12429.27,30182.32,1499.36,9.5,87,36,0.0,10.5,0.0,1.97,0.0,0,0.0,0,2,1,2019,0,0.0,0.0,6987.7098,-6987.7098
2019-01-02 01:00:00,113978.8,31807.03,39069.82,12051.49,29649.56,1400.91,9.7,86,54,0.0,8.9,0.0,1.64,0.0,0,0.0,1,2,1,2019,0,0.0,0.0,6838.728,-6838.728
2019-01-02 02:00:00,112632.51,31144.56,38791.59,11927.23,29395.16,1373.98,10.0,86,55,0.0,6.8,0.0,1.57,0.0,0,0.0,2,2,1,2019,0,0.0,0.0,6757.950599999999,-6757.950599999999
2019-01-02 03:00:00,112561.19,30738.92,38939.31,11923.1,29598.07,1361.79,9.4,89,37,0.0,6.0,0.0,2.14,0.0,0,0.0,3,2,1,2019,0,0.0,0.0,6753.6714,-6753.6714
2019-01-02 04:00:00,115098.64,31564.69,39225.4,12036.65,30894.57,1377.34,8.4,92,28,0.0,8.0,0.0,2.08,0.0,0,0.0,4,2,1,2019,0,0.0,0.0,6905.9184,-6905.9184
2019-01-02 05:00:00,122892.35,35333.23,40774.25,12488.5,32850.92,1445.45,7.9,95,55,0.0,6.9,0.0,2.1,0.0,0,0.0,5,2,1,2019,0,0.0,0.0,7373.541,-7373.541
2019-01-02 06:00:00,136784.64,40625.46,44839.71,13215.23,36478.0,1626.25,7.6,95,1,0.0,6.5,0.0,2.18,0.0,0,0.0,6,2,1,2019,0,0.0,0.0,8207.0784,-8207.0784
2019-01-02 07:00:00,150433.71,43404.32,49290.24,14565.49,41350.38,1823.28,7.8,94,0,0.0,6.5,1.0,2.06,0.7911969,0,0.791,7,2,1,2019,0,0.0,0.7911969,9026.022599999998,-9025.231403099999
2019-01-02 08:00:00,155312.1,45291.67,50996.36,14906.95,42285.86,1831.26,10.3,85,0,0.0,9.6,78.0,1.63,127.62871,0,127.629,8,2,1,2019,0,0.0,127.62871,9318.726,-9191.09729
2019-01-02 09:00:00,155567.52,44721.53,52555.02,14811.76,41714.6,1764.61,13.6,72,0,0.0,7.8,238.0,1.1,364.76852,0,364.769,9,2,1,2019,0,0.0,364.76852,9334.0512,-8969.28268
2019-01-02 10:00:00,155070.86,44667.16,52597.49,14562.21,41569.03,1674.97,16.6,61,0,0.0,8.1,395.0,0.86,552.59033,0,552.59,10,2,1,2019,0,0.0,552.59033,9304.2516,-8751.66127
2019-01-02 11:00:00,154175.61,44295.16,52595.36,14413.98,41268.59,1602.51,18.7,54,0,0.0,8.9,513.0,1.4,678.67896,0,678.679,11,2,1,2019,0,0.0,678.67896,9250.5366,-8571.85764
2019-01-02 12:00:00,152496.17,43378.12,52595.36,14137.79,40817.18,1567.72,20.0,49,0,0.0,7.9,573.0,1.73,739.7298,0,739.73,12,2,1,2019,0,0.0,739.7298,9149.7702,-8410.040400000002
2019-01-02 13:00:00,145958.97,42067.94,49453.13,13339.67,39556.73,1541.5,20.7,47,0,0.0,6.8,568.0,1.92,733.1463,0,733.146,13,2,1,2019,0,0.0,733.1463,8757.538199999999,-8024.391899999999
2019-01-02 14:00:00,144247.67,41665.02,48859.71,13002.07,39194.21,1526.66,21.1,45,0,0.0,6.3,498.0,2.17,672.73773,0,672.738,14,2,1,2019,0,0.0,672.73773,8654.860200000001,-7982.122470000001
2019-01-02 15:00:00,144980.84,41594.68,48654.41,13397.94,39793.69,1540.12,21.0,45,0,0.0,5.9,373.0,2.47,560.55835,0,560.558,15,2,1,2019,0,0.0,560.55835,8698.8504,-8138.292049999999
2019-01-02 16:00:00,146181.29,41293.15,48673.07,14086.85,40396.58,1731.64,20.1,50,0,0.0,4.4,211.0,2.75,407.7483,0,407.748,16,2,1,2019,0,0.0,407.7483,8770.8774,-8363.1291
2019-01-02 17:00:00,149810.65,42696.48,48076.9,15855.36,40854.14,2327.77,16.0,66,0,0.0,9.3,57.0,2.89,0.0,0,0.0,17,2,1,2019,0,0.0,0.0,8988.639,-8988.639
2019-01-02 18:00:00,154343.21,45832.52,47902.28,17222.48,41021.73,2364.21,15.0,68,0,0.0,9.2,0.0,2.88,0.0,0,0.0,18,2,1,2019,0,0.0,0.0,9260.5926,-9260.5926
2019-01-02 19:00:00,151144.37,44142.12,46552.93,17478.51,40652.07,2318.72,14.3,71,0,0.0,8.1,0.0,2.83,0.0,0,0.0,19,2,1,2019,0,0.0,0.0,9068.662199999999,-9068.662199999999
2019-01-02 20:00:00,142780.04,41282.76,44017.25,16888.7,38379.71,2211.63,16.5,61,0,0.0,4.4,0.0,2.75,0.0,0,0.0,20,2,1,2019,0,0.0,0.0,8566.8024,-8566.8024
2019-01-02 21:00:00,136672.66,39774.9,42286.65,15961.89,36582.86,2066.36,15.8,63,0,0.0,1.1,0.0,2.63,0.0,0,0.0,21,2,1,2019,0,0.0,0.0,8200.3596,-8200.3596
2019-01-02 22:00:00,130526.88,38841.01,41242.04,14470.31,34199.16,1774.36,15.1,67,0,0.0,3.1,0.0,2.57,0.0,0,0.0,22,2,1,2019,0,0.0,0.0,7831.6128,-7831.6128
2019-01-02 23:00:00,124644.11,36200.59,40848.8,13632.09,32371.56,1591.07,14.1,71,0,0.0,5.7,0.0,2.62,0.0,0,0.0,23,2,1,2019,0,0.0,0.0,7478.6466,-7478.6466
2019-01-03 00:00:00,119599.66,34075.98,39667.78,13036.84,31342.08,1476.97,10.7,85,0,0.0,8.6,0.0,2.7,0.0,0,0.0,0,3,1,2019,0,0.0,0.0,7175.9796,-7175.9796
2019-01-03 01:00:00,116753.0,32801.9,39116.29,12726.36,30695.24,1413.2,9.7,87,0,0.0,9.7,0.0,2.81,0.0,0,0.0,1,3,1,2019,0,0.0,0.0,7005.179999999999,-7005.179999999999
2019-01-03 02:00:00,115518.2,32196.38,38699.73,12770.32,30468.98,1382.79,9.5,86,0,0.0,9.0,0.0,2.56,0.0,0,0.0,2,3,1,2019,0,0.0,0.0,6931.092,-6931.092
2019-01-03 03:00:00,115710.99,32003.79,39041.59,12719.3,30566.22,1380.09,8.9,87,0,0.0,8.4,0.0,3.59,0.0,0,0.0,3,3,1,2019,0,0.2817270233196156,0.2817270233196156,6942.6594000000005,-6942.3776729766805
2019-01-03 04:00:00,118123.91,32595.28,39231.46,12932.38,31966.0,1398.79,8.7,88,0,0.0,7.1,0.0,2.86,0.0,0,0.0,4,3,1,2019,0,0.0,0.0,7087.4346,-7087.4346
2019-01-03 05:00:00,126128.58,35937.08,41013.93,13396.96,34312.61,1468.0,7.8,93,0,0.0,6.1,0.0,3.34,0.0,0,0.0,5,3,1,2019,0,0.053914951989026,0.053914951989026,7567.7148,-7567.660885048011
2019-01-03 06:00:00,139232.13,41186.05,44902.59,14061.38,37468.85,1613.25,7.5,93,0,0.0,6.5,0.0,4.33,0.0,0,0.0,6,3,1,2019,0,3.227211248285323,3.227211248285323,8353.9278,-8350.700588751713
2019-01-03 07:00:00,151025.85,42971.27,49547.51,14800.0,41986.7,1720.37,7.7,93,0,0.0,7.9,1.0,4.51,0.7958776,0,0.796,7,3,1,2019,0,4.72284087791495,5.51871847791495,9061.551,-9056.032281522084
2019-01-03 08:00:00,155769.61,44181.95,51793.89,15369.84,42725.43,1698.5,10.1,86,0,0.0,9.7,80.0,4.57,134.08786,0,134.088,8,3,1,2019,0,5.308495198902611,139.39635519890263,9346.176599999999,-9206.780244801097
2019-01-03 09:00:00,157617.81,45301.02,53471.59,15088.52,42107.89,1648.78,13.4,75,0,0.0,8.0,244.0,4.44,370.36084,0,370.361,9,3,1,2019,0,4.096000000000003,374.45684,9457.068599999999,-9082.611759999998
2019-01-03 10:00:00,156168.93,44216.0,53918.16,14719.82,41690.57,1624.38,16.3,65,0,0.0,8.8,405.0,3.11,561.0592,0,561.059,10,3,1,2019,0,0.0018257887517146,561.0610257887517,9370.1358,-8809.074774211249
2019-01-03 11:00:00,154245.87,43866.12,53141.53,14363.16,41351.14,1523.92,18.4,58,0,0.0,11.6,526.0,2.85,692.17816,0,692.178,11,3,1,2019,0,0.0,692.17816,9254.752199999999,-8562.57404
2019-01-03 12:00:00,151056.37,42770.31,51684.55,14150.36,40909.66,1541.49,19.7,51,0,0.0,13.5,586.0,3.22,758.6761,0,758.676,12,3,1,2019,0,0.0146063100137174,758.6907063100138,9063.3822,-8304.691493689987
