month,national_demand_mw,combined_renewable_kw,energy_balance_kw
1,154535.08923611112,185.63178257343185,-9086.473571593235
2,160939.422497549,220.6073678792972,-9435.757981973644
3,162936.2124798387,227.20085416559954,-9548.971894624723
4,164448.6325185185,230.01922648173658,-9636.898724629375
5,161685.01331989246,217.20544440114725,-9483.895354792401
6,169229.9757083333,197.04297465911654,-9956.755567840884
7,166101.0187311828,150.16521772083098,-9815.895906150137
8,169203.5190967742,165.11943641768195,-9987.09170938877
9,166800.88164444442,169.49107769215826,-9838.561820974508
10,153979.9326908602,201.3405070851368,-9037.455454366476
11,145249.128575,195.7598743685814,-8519.187840131419
12,150747.94305107527,189.11012249446952,-8855.766460570047
