date,national_demand_mw,month,festival,baseline_mw,deviation_pct
2019-01-01,137169.956,1,New Year,154806.842,-11.393
2019-01-26,128203.617,1,Republic Day,154806.842,-17.185
2019-03-04,141331.336,3,Maha Shivratri,163232.286,-13.417
2019-03-21,135944.702,3,Holi,163232.286,-16.717
2019-04-17,140738.709,4,Mahavir Jayanti,164456.79,-14.422
2019-05-01,155774.032,5,Labour Day,162190.843,-3.956
2019-05-18,158003.18,5,Buddha Purnima,162190.843,-2.582
2019-06-05,169320.356,6,Eid al-Fitr,169158.582,0.096
2019-08-12,155870.739,8,Eid al-Adha,169671.382,-8.134
2019-08-15,137279.379,8,Independence Day,169671.382,-19.091
2019-10-02,130016.873,10,Gandhi Jayanti,154598.472,-15.9
2019-10-08,127637.77,10,Dussehra,154598.472,-17.439
2019-10-27,112146.465,10,Diwali,154598.472,-27.46
2019-11-12,131380.618,11,Guru Nanak Jayanti,145562.935,-9.743
2019-12-25,141022.19,12,Christmas,150606.131,-6.364
2020-01-01,139712.455,1,New Year,154806.842,-9.75
2020-01-26,137516.529,1,Republic Day,154806.842,-11.169
2020-02-21,150694.947,2,Maha Shivratri,160904.768,-6.345
2020-03-10,127895.91,3,Holi,163232.286,-21.648
2020-04-06,113492.291,4,Mahavir Jayanti,164456.79,-30.99
2020-05-01,119852.615,5,Labour Day,162190.843,-26.104
2020-05-07,126683.911,5,Buddha Purnima,162190.843,-21.892
2020-05-25,153293.754,5,Eid al-Fitr,162190.843,-5.486
2020-08-01,154413.81,8,Eid al-Adha,169671.382,-8.992
2020-08-03,151520.246,8,Raksha Bandhan,169671.382,-10.698
2020-08-15,138702.759,8,Independence Day,169671.382,-18.252
2020-10-02,149298.117,10,Gandhi Jayanti,154598.472,-3.428
2020-10-25,132052.365,10,Dussehra,154598.472,-14.584
2020-11-14,124501.808,11,Diwali,145562.935,-14.469
2020-11-30,136890.555,11,Guru Nanak Jayanti,145562.935,-5.958
2020-12-25,150606.836,12,Christmas,150606.131,0.0
2021-01-01,148172.762,1,New Year,154806.842,-4.285
2021-01-26,149814.829,1,Republic Day,154806.842,-3.225
2021-03-11,168271.728,3,Maha Shivratri,163232.286,3.087
2021-03-29,153396.837,3,Holi,163232.286,-6.025
2021-04-25,155410.949,4,Mahavir Jayanti,164456.79,-5.5
2021-05-01,157262.963,5,Labour Day,162190.843,-3.038
2021-05-14,148037.125,5,Eid al-Fitr,162190.843,-8.727
2021-05-26,143244.078,5,Buddha Purnima,162190.843,-11.682
2021-07-21,153978.155,7,Eid al-Adha,166195.775,-7.351
2021-08-15,175205.05,8,Independence Day,169671.382,3.261
2021-08-22,154555.002,8,Raksha Bandhan,169671.382,-8.909
2021-10-02,151557.956,10,Gandhi Jayanti,154598.472,-1.967
2021-10-15,151389.787,10,Dussehra,154598.472,-2.075
2021-11-04,128647.37,11,Diwali,145562.935,-11.621
2021-11-19,137965.887,11,Guru Nanak Jayanti,145562.935,-5.219
2021-12-25,153939.565,12,Christmas,150606.131,2.213
2022-01-01,148279.985,1,New Year,154806.842,-4.216
2022-01-26,149706.278,1,Republic Day,154806.842,-3.295
2022-03-01,166472.338,3,Maha Shivratri,163232.286,1.985
2022-03-18,168008.407,3,Holi,163232.286,2.926
2022-04-14,181117.942,4,Mahavir Jayanti,164456.79,10.131
2022-05-01,178823.439,5,Labour Day,162190.843,10.255
2022-05-03,185695.562,5,Eid al-Fitr,162190.843,14.492
2022-05-16,186074.549,5,Buddha Purnima,162190.843,14.726
2022-07-10,163726.107,7,Eid al-Adha,166195.775,-1.486
2022-08-11,163845.957,8,Raksha Bandhan,169671.382,-3.433
2022-08-15,151233.471,8,Independence Day,169671.382,-10.867
2022-10-02,164207.11,10,Gandhi Jayanti,154598.472,6.215
2022-10-05,161149.501,10,Dussehra,154598.472,4.237
2022-10-24,131411.423,10,Diwali,154598.472,-14.998
2022-11-08,157960.952,11,Guru Nanak Jayanti,145562.935,8.517
2022-12-25,160006.606,12,Christmas,150606.131,6.242
2023-01-01,160281.215,1,New Year,154806.842,3.536
2023-01-26,158907.467,1,Republic Day,154806.842,2.649
2023-02-18,177005.822,2,Maha Shivratri,160904.768,10.007
2023-03-08,161854.211,3,Holi,163232.286,-0.844
2023-04-04,174178.649,4,Mahavir Jayanti,164456.79,5.911
2023-04-22,183622.382,4,Eid al-Fitr,164456.79,11.654
2023-05-01,148778.942,5,Labour Day,162190.843,-8.269
2023-05-05,168553.163,5,Buddha Purnima,162190.843,3.923
2023-06-29,179705.863,6,Eid al-Adha,169158.582,6.235
2023-08-15,200271.405,8,Independence Day,169671.382,18.035
2023-08-30,210968.648,8,Raksha Bandhan,169671.382,24.34
2023-10-02,177093.35,10,Gandhi Jayanti,154598.472,14.551
2023-10-24,171347.405,10,Dussehra,154598.472,10.834
2023-11-12,148221.525,11,Diwali,145562.935,1.826
2023-11-27,151863.774,11,Guru Nanak Jayanti,145562.935,4.329
2023-12-25,169436.374,12,Christmas,150606.131,12.503
2024-01-01,170687.435,1,New Year,154806.842,10.258
2024-01-26,178683.57,1,Republic Day,154806.842,15.424
2024-03-08,185471.168,3,Maha Shivratri,163232.286,13.624
2024-03-25,168606.471,3,Holi,163232.286,3.292
2024-04-10,179718.641,4,Eid al-Fitr,164456.79,9.28
2024-04-21,185906.494,4,Mahavir Jayanti,164456.79,13.043
