hour,national_demand_mw,solar_generation_kw,wind_power_potential_kw,combined_renewable_kw,demand_std,renewable_std
0,151434.219,0.0,7.566,7.566,23235.565,32.314
1,148073.075,0.0,15.815,15.815,22866.892,58.194
2,145210.637,0.0,27.851,27.851,22334.727,96.905
3,143526.454,0.0,36.845,36.845,21648.115,118.371
4,144011.989,0.0,42.842,42.842,20781.853,125.322
5,148220.541,0.0,49.804,49.804,19076.35,130.409
6,154961.33,4.681,52.315,56.996,17825.162,133.468
7,161913.635,54.1,54.115,108.215,18294.395,143.314
8,165652.801,200.796,56.788,257.584,19574.154,161.53
9,170514.774,373.359,54.839,428.197,21328.649,177.761
10,172895.368,517.324,46.944,564.268,22833.38,187.555
11,173085.39,616.828,33.251,650.079,23238.845,181.874
12,171702.837,654.887,15.803,670.69,22964.018,165.793
13,168146.015,646.905,6.833,653.738,22362.512,151.324
14,167643.162,586.377,7.062,593.439,22815.431,139.867
15,167093.821,476.968,7.726,484.694,22781.902,121.445
16,164671.731,328.497,8.867,337.364,21561.093,97.658
17,162414.363,125.706,9.79,135.496,19685.379,97.731
18,164181.81,9.971,9.503,19.474,18292.234,50.326
19,167799.784,0.0,8.674,8.674,18048.566,39.887
20,164135.507,0.0,8.562,8.562,18907.256,37.792
21,160660.516,0.0,7.407,7.407,20286.448,32.449
22,158380.372,0.0,6.326,6.326,22121.487,27.123
23,155359.443,0.0,5.997,5.997,23163.867,26.096
