month,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,130363.54,126950.04,124657.85,124088.48,126469.54,134916.69,148705.74,164351.31,172796.79,178527.78,180613.29,179231.26,175935.56,169878.06,166234.19,164351.56,163044.71,163346.09,166755.01,164712.1,156438.81,148978.06,141790.88,135704.83
2,140682.3,137675.7,135522.18,134879.65,136877.9,144603.14,157497.71,171565.99,177846.81,182882.75,184467.29,183268.3,179786.42,173763.42,171275.71,170171.38,168251.24,165955.1,167639.85,169061.92,160684.07,154095.54,149062.89,145028.91
3,152260.71,149345.37,146835.52,145594.21,146700.66,152012.65,160568.41,168183.66,170839.01,175466.85,177808.87,177980.05,175688.46,171053.18,170109.39,169962.02,167836.13,163273.59,163479.66,169065.73,163316.99,159458.45,157797.69,155831.82
4,161660.4,158297.21,155200.7,153475.28,153578.8,156260.0,159630.71,162243.41,164501.57,170290.89,172840.45,173215.03,172118.84,169030.07,169809.42,170167.61,167065.61,161784.07,160875.54,169213.3,167483.87,165932.92,166652.19,165439.3
5,164264.99,160466.61,156861.36,154208.53,152734.87,153228.57,153103.15,153445.28,155537.56,160753.24,164228.02,166423.93,167522.72,166990.14,169013.08,169379.28,165279.65,158846.61,155387.87,163548.58,165843.23,166583.39,168752.22,168037.43
6,171849.35,167931.86,164154.58,161065.67,159715.57,159543.23,160074.64,161347.96,163730.73,168645.54,172062.14,174237.64,174970.69,174204.29,176201.7,176247.86,172200.28,166146.18,163217.76,170878.52,174488.82,175569.91,177260.78,175773.75
7,166719.25,162799.11,159197.32,156464.72,155341.1,155821.63,158375.66,161297.58,163664.27,168260.8,170818.21,171633.02,171373.75,169123.58,169834.87,169519.8,166431.06,162624.89,162631.25,171617.48,174496.16,174095.92,173536.57,170746.46
8,167400.93,163876.36,160713.95,158318.12,157595.91,158904.87,161699.91,165119.89,167932.05,172978.49,175620.57,176184.63,175865.97,173708.31,174393.92,173574.82,170424.63,166571.67,167338.52,175784.66,176217.6,175092.58,174146.13,171419.96
9,164329.69,160561.18,157325.95,154954.48,154359.47,155951.1,159266.58,163369.28,165786.93,170295.81,172781.28,173547.78,173000.22,170457.85,170983.38,170333.93,167336.2,165103.35,170256.11,177114.32,174694.76,172547.01,171024.87,167839.61
10,146230.48,143058.63,140438.07,138682.34,139100.43,143396.63,149253.78,154229.88,156619.39,160646.88,162877.41,163099.97,161939.87,158898.63,158835.07,158236.94,156251.63,156765.72,164855.39,165646.36,159742.8,155283.82,152265.67,149162.57
11,128319.31,125638.76,123380.46,122526.62,124547.59,132492.68,143431.09,153016.41,156338.86,159949.44,161686.32,160937.95,158816.23,154116.82,152333.87,151772.93,151069.15,155331.24,161064.47,155871.21,146669.55,139907.88,135213.84,131546.41
12,126898.52,123923.12,121649.3,121022.53,123452.65,132578.3,146991.59,161805.85,168421.09,173316.85,174911.13,173710.9,170653.85,164731.23,161670.94,160494.52,159720.51,162603.3,166569.0,161112.44,151157.61,142937.48,136332.33,131285.61
