month,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,100.42,288.04,462.88,598.02,649.98,664.19,613.14,507.78,367.81,142.1,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.44,152.62,362.59,546.61,677.63,741.05,747.45,694.42,583.59,425.35,240.21,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.04,43.59,220.33,417.6,584.73,699.36,759.73,752.83,688.17,571.04,399.59,197.39,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,5.64,100.09,285.18,467.8,611.54,710.1,750.39,731.62,660.25,537.7,361.24,161.96,4.56,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,16.94,121.17,284.79,441.58,569.82,652.9,678.73,660.59,591.2,470.14,317.55,138.94,21.23,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,19.52,105.88,246.97,390.47,508.82,587.47,593.83,576.14,512.32,422.05,292.76,139.01,33.64,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,10.24,65.92,162.57,271.76,368.58,445.75,467.28,470.46,435.01,353.98,248.44,129.38,39.61,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,4.74,59.82,170.3,297.17,408.49,483.8,524.14,506.92,459.91,374.66,259.56,129.11,25.88,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,1.39,59.38,195.23,341.53,458.44,537.93,568.41,560.36,504.42,396.22,265.06,107.0,0.7,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.05,59.85,243.61,430.28,577.27,667.17,693.43,675.76,598.51,472.91,301.62,84.59,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.6,211.46,411.71,566.27,669.46,706.59,684.58,605.24,475.86,306.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.93,144.95,354.58,523.24,636.87,678.28,680.03,621.42,508.18,355.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
