hour,national_demand_mw,north_demand_mw,west_demand_mw,east_demand_mw,south_demand_mw,north_east_demand_mw
0,151434.22,45645.72,47501.24,18736.6,37712.12,1838.54
1,148073.08,44232.75,46835.34,18341.69,36902.95,1760.34
2,145210.64,43151.3,46064.14,18020.79,36264.1,1710.32
3,143526.45,42367.36,45702.17,17798.83,35992.42,1665.68
4,144011.99,42464.94,45796.08,17712.73,36399.84,1638.4
5,148220.54,43987.24,47203.4,17570.15,37781.45,1678.31
6,154961.33,45817.74,49559.77,17526.69,40213.59,1843.54
7,161913.64,46993.48,51658.48,17956.24,43331.44,1973.99
8,165652.8,48397.57,52618.79,18147.93,44517.67,1970.83
9,170514.77,50474.3,53847.05,18320.31,45939.88,1933.23
10,172895.37,51610.31,54537.54,18391.98,46442.91,1912.63
11,173085.39,51731.81,54605.9,18441.27,46400.64,1905.77
12,171702.84,51371.16,53683.65,18418.62,46314.83,1914.57
13,168146.02,49814.19,52778.46,18125.67,45509.05,1918.66
14,167643.16,49335.78,53148.81,17900.71,45325.07,1932.8
15,167093.82,48539.32,53452.8,17939.15,45188.09,1974.46
16,164671.73,47585.04,52940.24,17906.09,44173.46,2066.91
17,162414.36,47456.12,52017.1,18499.35,42100.83,2340.97
18,164181.81,49534.14,51150.98,19897.53,41012.28,2586.88
19,167799.78,51857.65,51007.63,20686.33,41643.8,2604.37
20,164135.51,51428.15,49064.9,20536.65,40584.14,2521.66
21,160660.52,49965.61,48046.31,20118.6,40167.47,2362.53
22,158380.37,48870.07,48178.92,19542.84,39636.72,2151.82
23,155359.44,47323.38,48270.42,19203.74,38592.47,1969.44
