day_type,hour,national_demand_mw,combined_renewable_kw
Weekday,0,151134.154,7.976
Weekday,1,147790.093,16.507
Weekday,2,144938.994,28.685
Weekday,3,143285.487,36.75
Weekday,4,143826.549,41.531
Weekday,5,148227.679,48.529
Weekday,6,155461.031,55.494
Weekday,7,162853.401,106.707
Weekday,8,166721.316,255.878
Weekday,9,171754.202,427.012
Weekday,10,174335.203,563.581
Weekday,11,174574.261,649.392
Weekday,12,173152.706,670.82
Weekday,13,169472.359,653.536
Weekday,14,169179.701,593.319
Weekday,15,168790.156,484.433
Weekday,16,166477.534,336.869
Weekday,17,164235.804,135.368
Weekday,18,165869.951,19.977
Weekday,19,169235.901,9.082
Weekday,20,165347.545,9.114
Weekday,21,161746.821,7.996
Weekday,22,159322.564,6.717
Weekday,23,156172.732,6.199
Weekend,0,152184.92,6.54
Weekend,1,148781.04,14.082
Weekend,2,145890.235,25.765
Weekend,3,144129.304,37.084
Weekend,4,144475.925,46.122
Weekend,5,148202.683,52.994
Weekend,6,153711.179,60.753
Weekend,7,159562.53,111.985
Weekend,8,162979.591,261.852
Weekend,9,167413.974,431.162
Weekend,10,169293.192,565.988
Weekend,11,169360.536,651.8
Weekend,12,168075.556,670.366
Weekend,13,164827.77,654.242
Weekend,14,163799.051,593.739
Weekend,15,162849.932,485.348
Weekend,16,160153.976,338.601
Weekend,17,157857.485,135.818
Weekend,18,159958.42,18.217
Weekend,19,164206.91,7.653
Weekend,20,161103.234,7.179
Weekend,21,157942.801,5.935
Weekend,22,156023.198,5.349
Weekend,23,153324.758,5.493
