target,rank_in_target,category,model,rmse,mae,mape_pct,residual_std,test_rows,deployable
demand,1,baseline,linear_regression,3237.1263,2485.3355,1.3561,3235.752,9312,1
demand,2,ml,random_forest,4212.1739,2798.7643,1.4614,4074.643,9312,1
demand,3,ml,gradient_boosting,4260.0669,2582.6661,1.3266,4009.6567,9312,1
demand,4,ml,xgboost,4355.4287,2698.7811,1.3872,4043.9993,9312,1
demand,5,baseline,naive_1h,5233.9524,4086.7113,2.2577,5233.952,9312,0
demand,6,baseline,naive_24h,6674.4297,4907.8098,2.7078,6674.2282,9312,0
demand,7,baseline,naive_168h,11248.8386,8710.5929,4.8244,11245.8887,9312,0
demand,8,baseline,naive_720h,16723.5072,12986.2185,7.2044,16677.2589,9312,0
solar,1,ml,xgboost,28.3897,11.8709,22.3227,28.3837,9312,1
solar,2,ml,gradient_boosting,28.585,12.3782,25.7621,28.5776,9312,1
solar,3,ml,random_forest,28.9005,11.7494,10.4693,28.8961,9312,1
solar,4,baseline,linear_regression,43.0217,25.1773,522.2369,42.8009,9312,1
solar,5,baseline,naive_24h,61.43,25.1154,13.8611,61.43,9312,0
solar,6,baseline,naive_168h,80.3995,34.6847,27.0341,80.3991,9312,0
solar,7,baseline,naive_720h,89.1921,41.9864,69.4668,89.1883,9312,0
solar,8,baseline,naive_1h,96.1725,57.9518,686.8735,96.1725,9312,0
wind,1,ml,random_forest,0.1774,0.0088,0.0039,0.1774,9312,1
wind,2,ml,xgboost,6.4365,0.4322,1.1087,6.4364,9312,1
wind,3,ml,gradient_boosting,6.5144,0.5013,1.579,6.5139,9312,1
wind,4,baseline,linear_regression,7.6852,2.3891,98.9294,7.6104,9312,1
wind,5,baseline,naive_1h,8.3242,1.8398,30.0135,8.3242,9312,0
wind,6,baseline,naive_24h,22.8505,5.9448,168.4056,22.8505,9312,0
wind,7,baseline,naive_720h,30.8272,7.8495,338.9568,30.8227,9312,0
wind,8,baseline,naive_168h,31.6862,8.1909,346.9789,31.6861,9312,0
